SONA_ID,Condition,WholeHand,BesidesHand,IndexSymmetrical,MiddleSymmetric,Roundness,LeftmostDistance,Coder,index_curve,pinkie_curl
49513,20066,yes,NA,NA,NA,NA,NA,gurjot,6,2
53491,70058,no,no,no,yes,yes,100,gurjot,1,4
43906,70034,no,no,no,yes,no,13,gurjot,1,7
47833,40066,yes,NA,NA,NA,NA,NA,gurjot,4,2
44644,20066,no,no,yes,yes,yes,22,gurjot,6,2
50197,60034,no,no,yes,yes,yes,20,gurjot,2,7
54385,30066,yes,NA,NA,NA,NA,NA,gurjot,5,2
52246,40050,no,no,yes,no,no,30,gurjot,4,5
53110,40058,no,no,no,yes,no,143,gurjot,4,4
47524,20050,no,no,yes,yes,yes,38,gurjot,6,5
50047,50066,no,no,yes,no,no,8,gurjot,3,2
53014,60050,no,no,yes,no,no,6,gurjot,2,5
48757,50034,no,no,no,no,yes,28,gurjot,3,7
52879,20058,no,no,no,yes,yes,70,gurjot,6,4
42733,70050,no,no,yes,no,no,6,gurjot,1,5
51484,50058,no,yes,NA,NA,NA,NA,gurjot,3,4
43201,30042,no,no,yes,yes,yes,19,gurjot,5,6
49513,70034,yes,NA,NA,NA,NA,NA,gurjot,1,7
51961,30050,no,no,yes,yes,yes,20,gurjot,5,5
50626,30034,no,no,yes,yes,yes,18,gurjot,5,7
53188,40034,no,no,yes,yes,yes,15,gurjot,4,7
50632,20074,no,no,no,no,yes,NA,gurjot,6,1
49198,40074,no,no,no,no,yes,40,gurjot,4,1
52306,50050,no,no,yes,yes,no,15,gurjot,3,5
40858,70066,no,no,no,yes,yes,64,gurjot,1,2
44617,40042,no,no,yes,yes,no,15,gurjot,4,6
53794,20042,no,no,yes,no,no,25,gurjot,6,6
38455,30074,no,no,no,no,yes,NA,gurjot,5,1
51679,20034,no,no,no,yes,yes,22,gurjot,6,7
53431,50034,no,no,yes,no,no,30,gurjot,3,7
48037,70066,no,no,no,yes,yes,65,gurjot,1,2
53761,60066,no,yes,NA,NA,NA,NA,gurjot,2,2
48898,20050,no,no,no,no,yes,35,gurjot,6,5
44731,50050,no,no,yes,no,no,18,gurjot,3,5
54247,50066,no,no,no,yes,yes,73,gurjot,3,2
51706,70042,no,no,yes,no,no,18,gurjot,1,6
48910,20074,no,yes,NA,NA,NA,NA,gurjot,6,1
42331,30074,no,no,yes,no,no,25,gurjot,5,1
50956,40074,no,no,no,no,yes,106,gurjot,4,1
54172,50074,no,no,yes,no,no,14,gurjot,3,1
43525,30034,no,no,no,yes,yes,31,gurjot,5,7
49354,40058,no,no,no,yes,yes,24,gurjot,4,4
39625,40066,no,no,no,yes,yes,69,gurjot,4,2
44881,60042,no,no,yes,no,yes,33,gurjot,2,6
39625,60050,no,no,no,yes,yes,21,gurjot,2,5
45877,20066,no,no,no,no,yes,46,gurjot,6,2
49339,30058,no,no,no,yes,yes,17,gurjot,5,4
51871,50042,no,no,yes,no,no,21,gurjot,3,6
53719,70050,no,yes,NA,NA,NA,NA,gurjot,1,5
50197,40042,no,yes,NA,NA,NA,NA,gurjot,4,6
46483,60058,no,yes,NA,NA,NA,NA,gurjot,2,4
52312,50058,no,no,no,yes,yes,18,gurjot,3,4
47698,30066,no,no,no,yes,yes,22,gurjot,5,2
38530,60034,no,no,no,yes,yes,26,gurjot,2,7
49627,20058,no,no,no,yes,yes,85,gurjot,6,4
50968,70034,no,no,yes,no,no,20,gurjot,1,7
46021,60074,no,yes,NA,NA,NA,NA,gurjot,2,1
48760,20042,no,no,yes,no,no,11,gurjot,6,6
53917,70074,no,no,yes,no,no,28,gurjot,1,1
52099,30074,no,no,yes,no,no,39,gurjot,5,1
43678,70074,no,no,yes,no,no,65,gurjot,1,1
53608,20034,yes,NA,NA,NA,NA,NA,neekole,6,7
44815,30058,yes,NA,NA,NA,NA,NA,neekole,5,4
52870,30050,no,yes,NA,NA,NA,NA,neekole,5,5
50404,60060,no,no,yes,no,yes,41,neekole,2,3
47869,40034,no,no,yes,no,no,43,neekole,4,7
43450,60058,yes,NA,NA,NA,NA,NA,neekole,2,4
49096,60074,yes,NA,NA,NA,NA,NA,neekole,2,1
43396,50074,yes,NA,NA,NA,NA,NA,neekole,3,1
53158,70058,yes,NA,NA,NA,NA,NA,neekole,1,4
52954,70034,yes,NA,NA,NA,NA,NA,neekole,1,7
49111,50058,yes,NA,NA,NA,NA,NA,neekole,3,4
53686,50042,no,no,yes,yes,no,37,neekole,3,6
54334,60066,no,no,no,no,no,35,neekole,2,2
48769,30058,no,no,yes,yes,no,37,neekole,5,4
44695,30066,no,no,no,no,no,45,neekole,5,2
43390,40074,no,no,no,no,yes,39,neekole,4,1
44815,50050,no,no,yes,yes,yes,40,neekole,3,5
53167,40058,no,no,yes,yes,no,30,neekole,4,4
49744,20058,no,no,yes,yes,yes,44,neekole,6,4
49267,70066,no,no,no,no,no,50,neekole,1,2
48043,20074,no,no,no,no,no,NA,neekole,6,1
44917,70042,no,no,yes,yes,no,40,neekole,1,6
53053,60034,no,no,no,no,yes,43,neekole,2,7
54346,30042,no,no,no,no,yes,36,neekole,5,6
50995,50066,no,no,no,no,yes,44,neekole,3,2
45013,50042,no,no,no,no,yes,36,neekole,3,6
