ID,filenames1stPic,filenames2ndPic,ratingTL
1,2014-08-07 12.26.10.jpg,2014-08-07 12.26.23.jpg,second more
2,2014-08-07 12.27.29.jpg,2014-08-07 12.27.38.jpg,second more
3,2014-08-07 12.28.58.jpg,2014-08-07 12.29.12.jpg,first more
4,2014-08-07 12.31.40.jpg,2014-08-07 12.31.59.jpg,second more
5,2014-08-07 12.37.39.jpg,2014-08-07 12.37.53.jpg,first more
6,2014-08-07 12.42.04.jpg,2014-08-07 12.42.19.jpg,first more
7,2014-08-07 12.59.42.jpg,2014-08-07 12.59.55.jpg,first more
8,2014-08-07 13.01.21.jpg,2014-08-07 13.01.32.jpg,second more
9,2014-08-07 13.04.46.jpg,2014-08-07 13.04.58.jpg,first more
10,2014-08-07 13.09.02.jpg,2014-08-07 13.09.15.jpg,first more
11,2014-08-07 13.14.24.jpg,2014-08-07 13.14.33.jpg,first more
12,2014-08-07 13.16.53.jpg,2014-08-07 13.17.02.jpg,second more
13,2014-08-07 13.18.50.jpg,2014-08-07 13.18.59.jpg,second more
14,2014-08-07 13.21.46.jpg,2014-08-07 13.21.56.jpg,second more
15,2014-08-07 13.23.48.jpg,2014-08-07 13.23.59.jpg,first more
16,2014-08-07 13.26.03.jpg,2014-08-07 13.26.14.jpg,first more
17,2014-08-07 13.28.31.jpg,2014-08-07 13.28.40.jpg,second more
18,2014-08-07 13.33.13.jpg,2014-08-07 13.33.27.jpg,second more
19,2014-08-07 13.35.17.jpg,2014-08-07 13.35.28.jpg,second more
20,2014-08-07 13.49.06.jpg,2014-08-07 13.49.16.jpg,second more
21,2014-08-07 14.24.00.jpg,2014-08-07 14.24.10.jpg,first more
22,2014-08-07 14.25.14.jpg,2014-08-07 14.25.29.jpg,second more
23,2014-08-07 14.38.41.jpg,2014-08-07 14.39.01.jpg,first more
24,2015-01-06 13.04.47.jpg,2015-01-06 13.05.02.jpg,first more
25,2015-01-06 13.06.08.jpg,2015-01-06 13.06.20.jpg,second more
26,2015-01-06 13.09.43.jpg,2015-01-06 13.09.57.jpg,first more
27,2015-01-06 13.11.14.jpg,2015-01-06 13.11.32.jpg,second more
28,2015-01-06 13.12.51.jpg,2015-01-06 13.13.04.jpg,first more
29,2015-01-06 13.17.40.jpg,2015-01-06 13.18.01.jpg,second more
30,2015-01-06 13.30.12.jpg,2015-01-06 13.30.25.jpg,first more
31,2015-01-06 13.34.10.jpg,2015-01-06 13.34.23.jpg,first more
32,2015-01-06 13.48.07.jpg,2015-01-06 13.48.34.jpg,second more
33,2015-01-06 13.53.26.jpg,2015-01-06 13.53.36.jpg,first more
34,2015-01-06 13.56.57.jpg,2015-01-06 13.57.07.jpg,first more
35,2015-01-06 13.58.56.jpg,2015-01-06 13.59.04.jpg,first more
36,2015-01-06 14.03.09.jpg,2015-01-06 14.03.26.jpg,second more
37,2015-01-07 15.08.03.jpg,2015-01-07 15.08.15.jpg,second more
38,2015-01-07 15.12.26.jpg,2015-01-07 15.12.34.jpg,second more
39,2015-01-07 15.14.31.jpg,2015-01-07 15.14.40.jpg,second more
40,2015-01-07 15.18.18.jpg,2015-01-07 15.18.31.jpg,second more
41,2015-01-07 15.20.31.jpg,2015-01-07 15.20.47.jpg,second more
42,2015-01-07 15.22.52.jpg,2015-01-07 15.23.03.jpg,second more
43,2015-01-07 15.25.23.jpg,2015-01-07 15.26.01.jpg,second more
44,2015-01-07 15.31.26.jpg,2015-01-07 15.31.41.jpg,second more
45,2015-01-07 15.32.40.jpg,2015-01-07 15.32.50.jpg,second more
46,2015-01-07 15.35.22.jpg,2015-01-07 15.35.35.jpg,first more
47,2015-01-07 15.39.37.jpg,2015-01-07 15.39.47.jpg,first more
48,2015-01-07 15.41.13.jpg,2015-01-07 15.41.22.jpg,first more
49,2015-01-07 15.43.54.jpg,2015-01-07 15.44.06.jpg,first more
50,2015-01-07 15.50.37.jpg,2015-01-07 15.50.50.jpg,first more
51,2015-01-07 15.52.06.jpg,2015-01-07 15.52.18.jpg,first more
52,2015-01-07 15.53.47.jpg,2015-01-07 15.54.04.jpg,first more
53,2015-01-07 15.56.28.jpg,2015-01-07 15.56.51.jpg,first more
54,2015-01-07 16.02.50.jpg,2015-01-07 16.03.11.jpg,first more
