ID,beg,ratingJH,filenames1stPic,filenames2ndPic,comment
1,m,secondMoreCurl,2014-08-07 12.26.10.jpg,2014-08-07 12.26.23.jpg,
2,s,secondMoreCurl,2014-08-07 12.27.29.jpg,2014-08-07 12.27.38.jpg,
3,m,firstMoreCurl,2014-08-07 12.28.58.jpg,2014-08-07 12.29.12.jpg,
4,s,secondMoreCurl,2014-08-07 12.31.40.jpg,2014-08-07 12.31.59.jpg,
5,m,firstMoreCurl,2014-08-07 12.37.39.jpg,2014-08-07 12.37.53.jpg,
6,m,firstMoreCurl,2014-08-07 12.42.04.jpg,2014-08-07 12.42.19.jpg,
7,m,firstMoreCurl,2014-08-07 12.59.42.jpg,2014-08-07 12.59.55.jpg,
8,s,secondMoreCurl,2014-08-07 13.01.21.jpg,2014-08-07 13.01.32.jpg,
9,s,firstMoreCurl,2014-08-07 13.04.46.jpg,2014-08-07 13.04.58.jpg,
10,m,firstMoreCurl,2014-08-07 13.09.02.jpg,2014-08-07 13.09.15.jpg,
11,m,firstMoreCurl,2014-08-07 13.14.24.jpg,2014-08-07 13.14.33.jpg,ohne mein Zutun hat er den Schlüssel als störend empfunden und für die 2. Geste aus der Hand genommen
12,s,secondMoreCurl,2014-08-07 13.16.53.jpg,2014-08-07 13.17.02.jpg,
13,m,secondMoreCurl,2014-08-07 13.18.50.jpg,2014-08-07 13.18.59.jpg,
14,s,secondMoreCurl,2014-08-07 13.21.46.jpg,2014-08-07 13.21.56.jpg,
15,m,firstMoreCurl,2014-08-07 13.23.48.jpg,2014-08-07 13.23.59.jpg,
16,s,secondMoreCurl,2014-08-07 13.26.03.jpg,2014-08-07 13.26.14.jpg,
17,s,secondMoreCurl,2014-08-07 13.28.31.jpg,2014-08-07 13.28.40.jpg,
18,s,secondMoreCurl,2014-08-07 13.33.13.jpg,2014-08-07 13.33.27.jpg,left of double-picture
19,s,firstMoreCurl,2014-08-07 13.33.13.jpg,2014-08-07 13.33.27.jpg,right of double-picture
20,s,secondMoreCurl,2014-08-07 13.35.17.jpg,2014-08-07 13.35.28.jpg,
21,s,secondMoreCurl,2014-08-07 13.49.06.jpg,2014-08-07 13.49.16.jpg,
22,m,firstMoreCurl,2014-08-07 14.24.00.jpg,2014-08-07 14.24.10.jpg,
23,m,secondMoreCurl,2014-08-07 14.25.14.jpg,2014-08-07 14.25.29.jpg,
24,m,firstMoreCurl,2014-08-07 14.38.41.jpg,2014-08-07 14.39.01.jpg,
25,m,firstMoreCurl,2015-01-06 13.04.47.jpg,2015-01-06 13.05.02.jpg, Timo
26,s,secondMoreCurl,2015-01-06 13.06.08.jpg,2015-01-06 13.06.20.jpg, Julia
27,m,firstMoreCurl,2015-01-06 13.09.43.jpg,2015-01-06 13.09.57.jpg, vor Büro
28,s,firstMoreCurl,2015-01-06 13.11.14.jpg,2015-01-06 13.11.32.jpg, Höhe Klangbaum
29,m,firstMoreCurl,2015-01-06 13.12.51.jpg,2015-01-06 13.13.04.jpg, Katrin Feuerwerksladen
30,s,secondMoreCurl,2015-01-06 13.17.40.jpg,2015-01-06 13.18.01.jpg, Sparbuch
31,m,firstMoreCurl,2015-01-06 13.30.12.jpg,2015-01-06 13.30.25.jpg, Holzladen
